date,product,quantity,unit_price,amount
2024-01-01,Widget A,10,5.00,50.00
2024-01-02,Widget B,3,12.50,37.50
2024-01-03,Widget A,7,5.00,35.00
2024-01-04,Widget C,1,100.00,100.00
2024-01-05,Widget B,5,12.50,62.50
2024-01-06,Widget A,20,5.00,100.00
2024-01-07,Widget C,2,100.00,200.00
2024-01-08,Widget B,8,12.50,100.00
2024-01-09,Widget A,4,5.00,20.00
2024-01-10,Widget C,3,100.00,300.00
2024-01-11,Widget A,15,5.00,75.00
2024-01-12,Widget B,6,12.50,75.00
2024-01-13,Widget C,1,100.00,100.00
2024-01-14,Widget A,9,5.00,45.00
2024-01-15,Widget B,2,12.50,25.00
